subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
6,001,0,source,0,EVENING,HF,target,left,yellow,pleasantness,conservative,no,3,1,2.94156944922,-,-
6,001,0,source,1,BRUISING,LF,target,left,yellow,pleasantness,conservative,no,3,1,2.98838816395,-,-
6,001,0,source,2,MEANS,HF,target,left,yellow,pleasantness,liberal,no,2,1,2.18865549207,-,-
6,001,0,source,3,VERBALLY,LF,target,right,aqua,imageability,conservative,no,8,1,2.96502921473,-,-
6,001,0,source,4,ARGUABLE,LF,target,left,yellow,pleasantness,conservative,no,8,0,1.74147809134,-,-
6,001,0,source,5,TOWARDS,HF,target,left,yellow,pleasantness,conservative,yes,7,0,1.69453729726,-,-
6,001,0,source,6,DENIALS,LF,target,right,aqua,imageability,liberal,no,9,1,1.788512003,-,-
6,001,0,source,7,EITHER,HF,target,left,yellow,pleasantness,liberal,no,1,1,2.35324595433,-,-
6,001,0,source,8,FORCE,HF,target,left,yellow,pleasantness,conservative,no,1,1,1.223898298,-,-
6,001,0,source,9,TWAIN,LF,target,left,yellow,pleasantness,conservative,no,1,1,1.29438904233,-,-
6,001,0,source,10,FOUND,HF,target,left,yellow,pleasantness,liberal,no,3,1,2.04732426256,-,-
6,001,0,source,11,DOWDY,LF,target,left,yellow,pleasantness,conservative,no,2,1,1.76504783824,-,-
6,001,0,source,12,BYGONE,LF,target,right,aqua,imageability,liberal,no,2,0,2.49455518757,-,-
6,001,0,source,13,DIZZINESS,LF,target,right,aqua,imageability,liberal,no,9,1,1.90618660031,-,-
6,001,0,source,14,BOVINE,LF,target,left,yellow,pleasantness,liberal,no,2,1,2.00033434345,-,-
6,001,0,source,15,LIFEBOAT,LF,target,right,aqua,imageability,liberal,no,3,0,3.36513860956,-,-
6,001,0,source,16,HINDERED,LF,target,right,aqua,imageability,conservative,no,8,1,6.61221878673,-,-
6,001,0,source,17,OPENED,HF,target,left,yellow,pleasantness,conservative,no,8,0,3.10620683688,-,-
