subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
7,001,0,source,0,PIRACY,LF,target,right,yellow,pleasantness,conservative,yes,2,0,5.07812109345,-,-
7,001,0,source,1,SUMMER,HF,target,left,aqua,imageability,conservative,no,1,1,2.2260742879,-,-
7,001,0,source,2,FIGURE,HF,target,left,aqua,imageability,liberal,no,2,1,1.22659780318,-,-
7,001,0,source,3,DOING,HF,target,left,aqua,imageability,conservative,no,7,0,2.33260121848,-,-
7,001,0,source,4,DEVELOPED,HF,target,right,yellow,pleasantness,conservative,no,7,1,0.813326103846,-,-
7,001,0,source,5,FREEDOM,HF,target,right,yellow,pleasantness,conservative,no,8,1,1.9726848196,-,-
7,001,0,source,6,BOWER,LF,target,right,yellow,pleasantness,liberal,no,2,0,1.75961006177,-,-
7,001,0,source,7,BEAUTIFUL,HF,target,right,yellow,pleasantness,liberal,yes,2,0,0.959721217165,-,-
7,001,0,source,8,TODAY,HF,target,right,yellow,pleasantness,conservative,no,8,1,1.26651144505,-,-
7,001,0,source,9,DRINK,HF,target,right,yellow,pleasantness,conservative,no,8,1,1.91942630347,-,-
7,001,0,source,10,TELEPHONE,HF,target,right,yellow,pleasantness,liberal,no,8,1,0.706624668208,-,-
7,001,0,source,11,ABOVE,HF,target,left,aqua,imageability,conservative,no,2,1,1.42634711706,-,-
7,001,0,source,12,AVAILABLE,HF,target,right,yellow,pleasantness,liberal,yes,2,0,6.74432656798,-,-
7,001,0,source,13,JEERED,LF,target,left,aqua,imageability,conservative,no,8,0,1.50614067318,-,-
7,001,0,source,14,SECOND,HF,target,right,yellow,pleasantness,conservative,no,8,1,0.840022451128,-,-
7,001,0,source,15,LAUNCHER,LF,target,left,aqua,imageability,liberal,no,2,1,1.18648875935,-,-
7,001,0,source,16,ANYONE,HF,target,right,yellow,pleasantness,conservative,no,2,0,0.693302157102,-,-
7,001,0,source,17,HARDLY,HF,target,left,aqua,imageability,liberal,no,2,1,0.666660067742,-,-
7,001,0,source,18,DAYBREAK,LF,target,right,yellow,pleasantness,conservative,no,8,1,2.89249532751,-,-
7,001,0,source,19,DOODLE,LF,target,right,yellow,pleasantness,conservative,no,9,1,0.839975891868,-,-
7,001,0,source,20,FOUND,HF,target,left,aqua,imageability,liberal,no,8,0,2.22611021542,-,-
7,001,0,source,21,HOTEL,HF,target,left,aqua,imageability,conservative,no,3,1,1.7862719479,-,-
7,001,0,source,22,RODENTS,LF,target,left,aqua,imageability,conservative,no,2,1,1.38637518452,-,-
7,001,0,source,23,LASER,LF,target,left,aqua,imageability,conservative,no,3,1,1.19960963645,-,-
7,001,0,source,24,IDIOCY,LF,target,right,yellow,pleasantness,liberal,no,8,1,1.11997518805,-,-
7,001,0,source,25,IDLING,LF,target,right,yellow,pleasantness,conservative,no,8,1,0.866451541428,-,-
7,001,0,source,26,REREAD,LF,target,right,yellow,pleasantness,conservative,yes,8,1,1.01319859782,-,-
7,001,0,source,27,FUDGE,LF,target,right,yellow,pleasantness,liberal,no,9,1,0.959809936117,-,-
7,001,0,source,28,BAFFLING,LF,target,left,aqua,imageability,conservative,no,9,0,0.946422535577,-,-
7,001,0,source,29,BLUECOATS,LF,target,left,aqua,imageability,liberal,no,3,1,1.25308958348,-,-
7,001,0,source,30,EASILY,HF,target,left,aqua,imageability,liberal,no,2,1,5.79811813112,-,-
7,001,0,source,31,SACRAMENT,LF,target,left,aqua,imageability,liberal,no,3,1,0.893299297546,-,-
7,001,0,source,32,LINEAGE,LF,target,left,aqua,imageability,liberal,no,3,1,1.01323562523,-,-
7,001,0,source,33,NEPHEWS,LF,target,left,aqua,imageability,liberal,no,2,1,1.74632971059,-,-
7,001,0,source,34,VACATED,LF,target,left,aqua,imageability,liberal,no,8,0,1.82603014831,-,-
7,001,0,source,35,PATCHY,LF,target,left,aqua,imageability,conservative,no,2,1,0.759975202614,-,-
7,001,0,source,36,FRACTIONS,LF,target,right,yellow,pleasantness,conservative,no,1,0,2.43933858164,-,-
7,001,0,source,37,EARLIER,HF,target,left,aqua,imageability,conservative,no,2,1,1.70613084803,-,-
7,001,0,source,38,NIGHT,HF,target,left,aqua,imageability,liberal,no,2,1,2.90560887253,-,-
7,001,0,source,39,FURTHER,HF,target,right,yellow,pleasantness,liberal,no,8,1,0.799903142266,-,-
7,001,0,source,40,CHLORIDE,LF,target,right,yellow,pleasantness,liberal,no,9,1,0.719790271251,-,-
7,001,0,source,41,FEELING,HF,target,right,yellow,pleasantness,liberal,no,8,1,1.89300747798,-,-
7,001,0,source,42,FULCRUM,LF,target,left,aqua,imageability,conservative,no,3,1,1.17318017944,-,-
7,001,0,source,43,SAMENESS,LF,target,right,yellow,pleasantness,liberal,no,8,1,1.13320714713,-,-
7,001,0,source,44,DECIDED,HF,target,right,yellow,pleasantness,liberal,no,3,0,0.866616148152,-,-
7,001,0,source,45,FLOOR,HF,target,left,aqua,imageability,conservative,no,2,1,0.666745487251,-,-
7,001,0,source,46,BROUGHT,HF,target,left,aqua,imageability,liberal,no,3,1,0.639905063319,-,-
7,001,0,source,47,BATCHES,LF,target,right,yellow,pleasantness,liberal,no,2,0,0.560191427707,-,-
7,001,0,recog,0,EQUALLED,LF,lure,-,-,-,liberal,yes,None,-1,-1,-1,-1
7,001,0,recog,1,DONATE,LF,lure,-,-,-,conservative,no,z,0,2.29273450223,-3,-4
7,001,0,recog,2,EARLIER,HF,target,left,aqua,imageability,conservative,no,m,0,3.38570869237,-1,-5
7,001,0,recog,3,SACRAMENT,LF,target,left,aqua,imageability,liberal,no,z,1,2.81261488562,3,-2
7,001,0,recog,4,LINEAGE,LF,target,left,aqua,imageability,liberal,no,z,1,1.29289654258,3,1
7,001,0,recog,5,BASIC,HF,lure,-,-,-,conservative,no,z,0,1.95930108509,-3,-2
7,001,0,recog,6,DOODLE,LF,target,right,yellow,pleasantness,conservative,no,z,1,3.4789769015,1,-1
7,001,0,recog,7,REREAD,LF,target,right,yellow,pleasantness,conservative,no,z,1,1.39973655599,1,0
7,001,0,recog,8,CANNOT,HF,lure,-,-,-,liberal,no,m,1,1.19983363361,1,1
7,001,0,recog,9,HARDLY,HF,target,left,aqua,imageability,liberal,no,z,1,0.946584576042,3,4
7,001,0,recog,10,EMULATION,LF,lure,-,-,-,conservative,no,m,1,1.3996929297,3,7
7,001,0,recog,11,ABOVE,HF,target,left,aqua,imageability,conservative,no,z,1,2.59939055203,1,8
7,001,0,recog,12,TERMS,HF,lure,-,-,-,conservative,no,None,-1,-1,-3,5
7,001,0,recog,13,IDIOCY,LF,target,right,yellow,pleasantness,liberal,no,z,1,4.13195591618,3,8
7,001,0,recog,14,BLUECOATS,LF,target,left,aqua,imageability,liberal,no,z,1,2.27943655383,3,11
7,001,0,recog,15,PUMPKIN,LF,lure,-,-,-,liberal,no,m,1,7.61043606477,1,12
7,001,0,recog,16,FUDGE,LF,target,right,yellow,pleasantness,liberal,yes,m,0,2.65259004419,-3,9
7,001,0,recog,17,NIGHT,HF,target,left,aqua,imageability,liberal,no,z,1,6.25119312364,3,12
7,001,0,recog,18,CONCERNED,HF,lure,-,-,-,liberal,no,m,1,1.37307723612,1,13
7,001,0,recog,19,FEELING,HF,target,right,yellow,pleasantness,liberal,no,z,1,3.65231582196,3,16
7,001,0,recog,20,OTHERS,HF,lure,-,-,-,liberal,no,m,1,1.23985395837,1,17
7,001,0,recog,21,BATCHES,LF,target,right,yellow,pleasantness,liberal,no,z,1,0.800014590961,3,20
7,001,0,recog,22,BAFFLING,LF,target,left,aqua,imageability,conservative,no,m,0,1.2531431081,-1,19
7,001,0,recog,23,DOING,HF,target,left,aqua,imageability,conservative,no,z,1,0.666759051732,1,20
7,001,0,recog,24,TELEPHONE,HF,target,right,yellow,pleasantness,liberal,no,None,-1,-1,-3,17
7,001,0,recog,25,TIDILY,LF,lure,-,-,-,conservative,no,m,1,1.42648716096,3,20
7,001,0,recog,26,TOGETHER,HF,lure,-,-,-,liberal,no,m,1,1.09315456089,1,21
7,001,0,recog,27,PIRACY,LF,target,right,yellow,pleasantness,conservative,no,z,1,1.39970099507,1,22
7,001,0,recog,28,FARAWAY,LF,lure,-,-,-,conservative,no,z,0,1.01323379215,-3,19
7,001,0,recog,29,HIGHER,HF,lure,-,-,-,liberal,no,z,0,2.732618229,-1,18
7,001,0,recog,30,AFRAID,HF,lure,-,-,-,conservative,no,z,0,1.26652757579,-3,15
7,001,0,recog,31,LAUNCHER,LF,target,left,aqua,imageability,liberal,no,z,1,6.22448027914,3,18
